year,gdpreal,lpaero,lpair,lpeng,nasdaq,time,timesq,nasareal,nasarad,nasanonrad,dempres,demsenate,demhouse,sework,totalrad,defrad,nsfrad,otherrad
1958,2809787.383,,,,,1,1,518.82,567.356,0,0,51,234,947400,28599.293,20288.052,241.776,7502.109
1959,3004147.751,,,,,2,4,833.69,1722.978,0,0,65.3,283.5,1018200,40951.91,30109.173,432.471,8687.288
1960,3078071.08,,,,,3,9,2271.869,2758.791,0,0,65.3,283.5,1089000,45777.398,33003.007,496.117,9519.483
1961,3148866.715,,,,,4,16,4158.986,5059.652,0,1,64,262,1159800,53703.595,37385.757,594.126,10664.059
1962,3340947.585,,,,,5,25,6940.293,9299.17,0,1,64,262,1230600,61115.759,37636.015,936.619,13243.956
1963,3487949.279,,,,,6,36,13938.689,18756.739,0,1,67,258.5,1301400,74624.85,40269.352,1192.129,14406.629
1964,3690250.337,,,,,7,49,22443.911,26055.734,0,1,67,258.5,1372200,82456.863,39563.293,1280.697,15557.139
1965,3926426.358,,,,,8,64,26883.64,28942.15,0,1,68,295,1443000,83131.543,36244.4,1453.733,16491.26
1966,4181644.072,,,,,9,81,30441.343,27334.114,3107.228,1,68,295,1513800,83010.201,36424.157,1657.691,17594.239
1967,4286185.174,,,,,10,100,26984.513,24809.641,2174.872,1,64,247.5,1584600,85301.83,40468.597,1630.884,18392.708
1968,4491922.062,,,,,11,121,22504.887,21420.311,1084.576,1,64,247.5,1655400,78757.754,37687.665,1669.603,17980.175
1969,4631171.646,,,,,12,144,19302.981,18245.422,1057.559,0,58,243,1726200,74060.149,35827.114,1365.326,18622.287
1970,4779755.475,,,,89.61,13,169,16668.503,17029.959,0,0,58,243,1797000,70474.116,33323.452,1387.471,18733.234
1971,4937324.618,,,,114.12,14,196,14298.709,13944.268,354.441,0,55,255,1846100,68296.23,32397.043,1542.307,20412.611
1972,5196856.904,,,,133.73,15,225,13871.523,12977.776,893.747,0,55,255,1895200,69288.525,34416.886,1918.683,19975.18
1973,5490143.482,,,,92.19,16,256,12728.985,12030.321,698.664,0,57,242.5,1944300,67543.892,32862.346,2063.848,20587.377
1974,5461850.139,,,,59.82,17,289,11478.772,10934.026,544.746,0,57,242.5,1993400,64099.357,30290.967,2003.351,20871.014
1975,5451066.987,,,,77.62,18,324,10550.973,10351.082,199.891,0,62,291,2042500,64098.364,29627.939,1994.889,22124.454
1976,5744784.372,,,,97.88,19,361,11231.947,10797.355,434.592,0,62,291,2091600,66138.397,29978.819,2024.972,23337.25
1977,6009637.913,,,,105.05,20,400,11529.516,9475.058,2054.458,1,61.5,292,2140700,71497.915,32868.487,2086.082,27068.288
1978,6343804.088,,,,117.98,21,441,11209.2,9409.913,1799.287,1,61.5,292,2189800,73061.287,31727.737,2122.52,29801.117
1979,6545076.217,,,,151.14,22,484,10891.468,9264.969,1626.499,1,58.5,277,2238900,73655.661,31770.326,2084.112,30536.253
1980,6529162.467,,,,202.34,23,529,11311.132,7739.625,3571.508,1,58.5,277,2288000,71589.489,32364.601,2053.959,29431.304
1981,6698663.146,,,,195.84,24,576,11551.074,7737.373,3813.701,0,46.5,242.5,2391000,72159.547,35019.028,2036.49,27366.657
1982,6570586.632,,,,232.41,25,625,12090.272,6269.182,5821.09,0,46.5,242.5,2494000,74294.503,41079.571,1918.782,25026.968
1983,6874877.828,,,,278.6,26,676,12950.039,5219.981,7730.059,0,46,269,2597000,75604.631,44039.75,2012.969,24331.931
1984,7374018.956,,,,247.35,27,729,12874.924,5595.436,7279.487,0,46,269,2700000,80319.356,47269.648,2277.471,25176.801
1985,7686510.824,,,,324.93,28,784,12822.346,6297.998,6524.348,0,47,253,2803000,88736.731,53620.802,2509.544,26308.387
1986,7956571.69,,,,348.83,29,841,12832.23,6404.458,6427.772,0,47,253,2906000,91784.643,57590.018,2438.001,25352.166
1987,8231898.69,,,,330.47,30,900,12830.755,6924.115,5906.64,0,55,258,3009000,96513.199,60356.97,2589.152,26642.962
1988,8577947.988,57.43,51.22,78.6,381.38,31,961,14848.019,7771.194,7076.825,0,55,258,3112000,96068.758,58276.099,2596.012,27425.453
1989,8893721.531,58.21,51.56,83.46,454.82,32,1024,17348.235,9295.05,8053.186,0,55,260,3215000,99932.508,59854.496,2710.036,28072.927
1990,9064430.44,60.59,54.73,83.64,373.84,33,1089,18841.027,10702.586,8138.441,0,55,260,3318000,99793.002,57233.273,2620.708,29236.435
1991,9057635.353,65.22,63.5,83.32,586.34,34,1156,20359.874,11742.081,8617.793,0,56,267.5,3504800,94108.965,47768.2,2853.111,31745.573
1992,9379736.933,68.15,68.58,81.84,676.95,35,1225,20025.157,12156.811,7868.346,0,56,267.5,3691600,98364.648,52391.545,2825.65,30990.643
1993,9637264.377,70.74,69.38,79.65,776.8,36,1296,20041.733,12285.935,7755.798,1,57,258.5,3878400,98653.096,50746.233,2819.327,32801.6
1994,10026470.72,67.09,63.38,78.95,751.96,37,1369,18787.286,12087.931,6699.356,1,57,258.5,4065200,95275.034,47765.74,3034.807,32386.557
1995,10299078.37,67.66,63.74,79.56,1052.13,38,1444,17977.463,12953.964,5023.498,1,47,204.5,4252000,94661.775,45497.035,3277.357,32933.419
1996,10689962.04,70.34,69.17,82.74,1291.03,39,1521,18318.975,11860.946,6458.029,1,47,204.5,4438800,91587.174,45638.696,3134.992,30952.541
1997,11169605.39,70.6,67.15,84.15,1570.35,40,1600,18632.228,12535.363,6096.865,1,45,208,4625600,93100.714,45249.01,3181.941,32134.4
1998,11666704.28,83.51,87.44,82.83,2192.69,41,1681,18219.117,12730.572,5488.546,1,45,208,4812400,94874.427,45377.059,3175.166,33591.63
1999,12213239.33,85.3,86.21,82.68,4069.31,42,1764,17239.067,12497.177,4741.89,1,45,211.5,4999200,97834.32,45200.623,3387.599,36748.921
2000,12713084.17,73.98,74.1,86.07,2470.52,43,1849,16598.407,12058.073,4540.334,1,45,211.5,5186000,99386.693,44823.857,3636.742,38868.021
2001,12837106.35,81.61,85.42,84.3,1950.4,44,1936,17034.685,11510.709,5523.975,0,50.5,213,5237818,107033.109,48498.756,4022.941,43000.702
2002,13066406.32,83.73,87.12,84.61,1335.51,45,2025,17146.125,11577.354,5568.771,0,50.5,213,5289636,116664.288,54488.849,4166.967,46431.119
2003,13433203.21,84.42,81.07,86.57,2003.37,46,2116,17050.145,10687.792,6362.353,0,49,205.5,5341455,125797.365,60858.279,4602.489,49648.805
2004,13941681.6,81.51,78.79,95.15,2175.44,47,2209,17209.457,9829.221,7380.236,0,49,205.5,5393273,131829.304,65952.471,4731.806,51315.806
2005,14408065.23,89.19,83.23,100.9,2205.32,48,2304,17168.152,9824.756,7343.396,0,45,203,5445091,134927.669,70050.836,4509.804,50542.273
2006,14792316.6,85.05,79.38,102.18,2415.29,49,2401,16147.186,7739.973,8407.212,0,45,203,5496909,132225.146,70389.986,4526.016,49569.17
2007,15055358.91,100,100,100,2652.28,50,2500,16493.966,6453.455,10040.511,0,51,236,5548727,134596.471,75175.404,4582.767,48384.845
2008,15011508.9,94.45,95.69,108.09,1577.03,51,2601,18187.887,5963.563,12224.325,0,51,236,5600545,131617.69,73429.477,4595.978,47628.672
2009,14594802.71,89.02,86.86,106.02,2269.15,52,2704,17999.18,6030.363,11968.817,1,59,257,5652364,146526.069,76901.604,7009.376,56584.726
2010,14964400,97.56,99.48,106.74,2652.87,53,2809,18724,8691.4,10032.6,1,59,257,5704182,146967.8,73623.9,6073.4,58579.1
